id,code,chart_template_id:id,name,user_type_id:id,reconcile
id_1-111001,1-111001,l10n_id.l10n_id_chart_template,Kas Kecil,account.data_account_type_liquidity,FALSE
id_1-111002,1-111002,l10n_id.l10n_id_chart_template,Kas Belum Disetor,account.data_account_type_liquidity,FALSE
id_1-112001,1-112001,l10n_id.l10n_id_chart_template,Mandiri Personal,account.data_account_type_liquidity,FALSE
id_1-112002,1-112002,l10n_id.l10n_id_chart_template,Mandiri Bisnis,account.data_account_type_liquidity,FALSE
id_1-112003,1-112003,l10n_id.l10n_id_chart_template,Muamalat,account.data_account_type_liquidity,FALSE
id_1-112004,1-112004,l10n_id.l10n_id_chart_template,BNI,account.data_account_type_liquidity,FALSE
id_1-112005,1-112005,l10n_id.l10n_id_chart_template,BCA,account.data_account_type_liquidity,FALSE
id_1-112006,1-112006,l10n_id.l10n_id_chart_template,BNI Giro,account.data_account_type_liquidity,FALSE
id_1-112007,1-112007,l10n_id.l10n_id_chart_template,Mandiri Giro,account.data_account_type_liquidity,FALSE
id_1-121001,1-121001,l10n_id.l10n_id_chart_template,Piutang Usaha,account.data_account_type_receivable,TRUE
id_1-121002,1-121002,l10n_id.l10n_id_chart_template,Piutang Karyawan,account.data_account_type_liquidity,FALSE
id_1-211003,1-211003,l10n_id.l10n_id_chart_template,Piutang Owner,account.data_account_type_liquidity,FALSE
id_1-211004,1-211004,l10n_id.l10n_id_chart_template,Piutang lainnya,account.data_account_type_liquidity,FALSE
id_1-130001,1-130001,l10n_id.l10n_id_chart_template,Persediaan Barang ,account.data_account_type_current_assets,FALSE
Id_1-139001,1-139001,l10n_id.l10n_id_chart_template,Goods Issued Not Invoiced,account.data_account_type_current_assets,FALSE
id_1-141001,1-141001,l10n_id.l10n_id_chart_template,Sewa Bangunan,account.data_account_type_current_assets,FALSE
id_1-141002,1-141002,l10n_id.l10n_id_chart_template,Asuransi Dibayar Dimuka,account.data_account_type_current_assets,FALSE
id_1-141003,1-141003,l10n_id.l10n_id_chart_template,Beban Iklan Dibayar Dimuka,account.data_account_type_current_assets,FALSE
id_1-180000,1-180000,l10n_id.l10n_id_chart_template,Uang Muka Pembelian,account.data_account_type_current_assets,FALSE
id_1-151001,1-151001,l10n_id.l10n_id_chart_template,PPN Masukan,account.data_account_type_current_assets,FALSE
Id_1-151002,1-151002,l10n_id.l10n_id_chart_template,Pajak Dibayar Dimuka PPH 22,account.data_account_type_current_assets,FALSE
Id_1-151003,1-151003,l10n_id.l10n_id_chart_template,Pajak Dibayar Dimuka PPH 23,account.data_account_type_current_assets,FALSE
Id_1-151004,1-151004,l10n_id.l10n_id_chart_template,Pajak Dibayar Dimuka PPH 25,account.data_account_type_current_assets,FALSE
id_1-221001,1-221001,l10n_id.l10n_id_chart_template,Tanah ,account.data_account_type_fixed_assets,FALSE
id_1-221002,1-221002,l10n_id.l10n_id_chart_template,Bangunan Kantor,account.data_account_type_fixed_assets,FALSE
id_1-221003,1-221003,l10n_id.l10n_id_chart_template,Kendaraan,account.data_account_type_fixed_assets,FALSE
id_1-221004,1-221004,l10n_id.l10n_id_chart_template,Perlatan Kantor,account.data_account_type_fixed_assets,FALSE
id_1-221005,1-221005,l10n_id.l10n_id_chart_template,Software,account.data_account_type_current_assets,FALSE
id_1-221006,1-221006,l10n_id.l10n_id_chart_template,Furnitur Kantor,account.data_account_type_fixed_assets,FALSE
id_1-228101,1-228101,l10n_id.l10n_id_chart_template,Akum Peny Bangunan Kantor,account.data_account_type_current_assets,FALSE
id_1-228102,1-228102,l10n_id.l10n_id_chart_template,Akum Peny Kendaraan Kendaraan,account.data_account_type_current_assets,FALSE
id_1-228103,1-228103,l10n_id.l10n_id_chart_template,Akum Peny Peralatan Kantor,account.data_account_type_current_assets,FALSE
id_1-228104,1-228104,l10n_id.l10n_id_chart_template,Akum Peny Software,account.data_account_type_current_assets,FALSE
id_1-228105,1-228105,l10n_id.l10n_id_chart_template,Akum Peny Furnitur Kantor,account.data_account_type_current_assets,FALSE
id_2-110001,2-110001,l10n_id.l10n_id_chart_template,Hutang Usaha,account.data_account_type_payable,TRUE
id_2-110002,2-110002,l10n_id.l10n_id_chart_template,Hutang Pemegang Saham,account.data_account_type_current_liabilities,FALSE
id_2-110003,2-110003,l10n_id.l10n_id_chart_template,Hutang Pihak Ketiga,account.data_account_type_current_liabilities,FALSE
id_2-110004,2-110004,l10n_id.l10n_id_chart_template,Hutang Gaji,account.data_account_type_current_liabilities,FALSE
Id_2-119001,2-119001,l10n_id.l10n_id_chart_template,Goods Received Not Purchased,account.data_account_type_current_liabilities,FALSE
id_2-121001,2-121001,l10n_id.l10n_id_chart_template,Hutang Pajak PPh 21,account.data_account_type_current_liabilities,FALSE
id_2-121002,2-121002,l10n_id.l10n_id_chart_template,Hutang Pajak PPh 23,account.data_account_type_current_liabilities,FALSE
id_2-121003,2-121003,l10n_id.l10n_id_chart_template,Hutang Pajak PPh 25,account.data_account_type_current_liabilities,FALSE
id_2-121004,2-121004,l10n_id.l10n_id_chart_template,Hutang Pajak Pasal 4 (2),account.data_account_type_current_liabilities,FALSE
id_2-121005,2-121005,l10n_id.l10n_id_chart_template,Hutang Pajak PPh 29,account.data_account_type_current_liabilities,FALSE
id_2-122101,2-122101,l10n_id.l10n_id_chart_template,PPN Keluaran,account.data_account_type_current_liabilities,FALSE
id_2-211001,2-211001,l10n_id.l10n_id_chart_template,Hutang Bank,account.data_account_type_current_liabilities,FALSE
id_2-211002,2-211002,l10n_id.l10n_id_chart_template,Hutang Leasing,account.data_account_type_current_liabilities,FALSE
id_2-511001,2-511001,l10n_id.l10n_id_chart_template,BYMHD Listrik ,account.data_account_type_current_liabilities,FALSE
id_2-511002,2-511002,l10n_id.l10n_id_chart_template,BYMHD Jamsostek ,account.data_account_type_current_liabilities,FALSE
id_2-511003,2-511003,l10n_id.l10n_id_chart_template,BYMHD Air,account.data_account_type_current_liabilities,FALSE
id_2-511004,2-511004,l10n_id.l10n_id_chart_template,BYMHD Telepon ,account.data_account_type_current_liabilities,FALSE
id_2-511005,2-511005,l10n_id.l10n_id_chart_template,BYMHD Jasa Pengelola Keamanan,account.data_account_type_current_liabilities,FALSE
id_2-511006,2-511006,l10n_id.l10n_id_chart_template,BYMHD Bank,account.data_account_type_current_liabilities,FALSE
id_2-511007,2-511007,l10n_id.l10n_id_chart_template,BYMHD PBB,account.data_account_type_current_liabilities,FALSE
id_2-511008,2-511008,l10n_id.l10n_id_chart_template,BYMHD Izin Usaha,account.data_account_type_current_liabilities,FALSE
id_2-511009,2-511009,l10n_id.l10n_id_chart_template,BYMHD Asuransi,account.data_account_type_current_liabilities,FALSE
id_2-511010,2-511010,l10n_id.l10n_id_chart_template,BYMHD Pendidikan dan Latihan,account.data_account_type_current_liabilities,FALSE
id_2-511011,2-511011,l10n_id.l10n_id_chart_template,BYMHD Jaminan Kesehatan/BPJS,account.data_account_type_current_liabilities,FALSE
id_2-811001,2-811001,l10n_id.l10n_id_chart_template,Uang Muka Penjualan,account.data_account_type_current_liabilities,FALSE
id_2-811002,2-811002,l10n_id.l10n_id_chart_template,Deposit Customer,account.data_account_type_current_liabilities,FALSE
id_2-811003,2-811003,l10n_id.l10n_id_chart_template,Poin Bonus,account.data_account_type_current_liabilities,FALSE
id_3-110001,3-110001,l10n_id.l10n_id_chart_template,Modal Dasar,account.data_account_type_equity,FALSE
id_3-110002,3-110002,l10n_id.l10n_id_chart_template,Modal Yang Disetor,account.data_account_type_equity,FALSE
id_3-110003,3-110003,l10n_id.l10n_id_chart_template,Modal Yang Belum Disetor,account.data_account_type_equity,FALSE
id_3-110004,3-110004,l10n_id.l10n_id_chart_template,Prive (Pengambilan Pribadi),account.data_account_type_equity,FALSE
